"Twin","RMSE_mAge_BernabeuE2023c","RMSE_mAge_CBL_common","RMSE_mAge_CBL_specific","RMSE_mAge_Cortex_common","RMSE_mAge_epiTOC2","RMSE_mAge_HannumG2013","RMSE_mAge_HorvathS2018","RMSE_mAge_LevineM2018","RMSE_mAge_LuA2019","RMSE_mAge_LuA2023p1","RMSE_mAge_LuA2023p2","RMSE_mAge_LuA2023p3","RMSE_mAge_McEwenL2019","RMSE_mAge_PCHannumG2013","RMSE_mAge_PCHorvathS2013","RMSE_mAge_PCHorvathS2018","RMSE_mAge_PCPhenoAge","RMSE_mAge_ShirebyG2020","RMSE_mAge_ZhangQ2019","RMSE_mAge_ZhangY2017"
"dizygotic_twinpair_1",12.4957001384882,14.7336813554662,1.39289528849693,25.0413279302418,1376.29694264248,6.75465248036238,2.74501738895176,29.852833582397,59.0783210623569,24.5255303562948,8.70672177519825,15.0848758736058,45.1715657256959,8.4007933969805,8.5049554620139,13.4161714505028,17.6966124516755,4.85099116849076,13.1980469528299,66.0208567012328
"dizygotic_twinpair_11",7.53026079005761,7.44754268241367,7.99721488657625,19.2707178927354,1023.34744360946,7.83444362044453,2.85483122104624,26.3616174569481,44.4850341994203,11.883222586204,5.29034524385941,3.90586942176949,34.6640807572577,14.6333078076536,0.696295686982025,4.37915867202408,25.5221181138804,3.33662431163436,6.13605401617002,51.8287006553282
"dizygotic_twinpair_12",4.08971753769651,4.00178513323737,14.9509703151699,11.3181821073303,1149.31288702731,2.95255524074255,5.40117877640763,18.9791023220562,36.7568244011437,8.29941988645118,8.54799647349217,4.33009812174765,26.0565565734497,20.7811632923595,4.09694524203691,2.58802088326673,30.570308633738,9.70410310890091,2.73978369606595,43.996770433966
"dizygotic_twinpair_13",5.63427051509864,5.47594583691237,8.80479117427905,18.3325114326222,1862.79463978695,3.61361381039435,8.00823455284185,17.9618890389805,50.0183921878497,19.0539205316432,1.89217760158896,3.72597476420663,34.8201834198559,20.6843316981863,3.08675784781263,1.87343089472175,31.050092372136,11.4365638841766,4.84905533582821,57.0940686301464
"dizygotic_twinpair_14",10.8738481294856,13.1533066863776,4.25531476958478,25.7787597861341,1791.88710420651,10.9398928892232,2.76419147857735,27.3963523771439,57.3495189216049,23.4685015355924,6.40651274701644,10.975972031968,43.5779475387112,12.9573117894434,5.16057999234233,3.95969812020086,25.0770302909594,4.82881834943597,11.7912009166028,64.5519536128098
"dizygotic_twinpair_15",14.452573480843,10.4646059034177,7.67075060487156,17.6014792677402,1144.94433500361,20.2843165539981,2.10552106480746,33.0205313488331,57.8678101931551,16.4731165707334,2.22538979210709,8.61728156234821,50.9424610794103,4.45352725199868,6.14698076968435,14.3266354651376,10.2649663879727,2.45479915838712,15.2010711825823,64.9270352725669
"dizygotic_twinpair_16",8.51206775895893,11.8173716187837,6.0073222729905,19.9535516968379,1494.75524803095,2.60798578266604,6.51824518754077,21.4173027727331,55.1095614350545,20.9723008624864,3.88235943741855,10.6865063183468,40.4385049668005,14.7182328888518,3.27975022485794,6.0567883560473,25.7618421436278,8.29958588606138,8.30313418088507,62.1397828478432
"dizygotic_twinpair_17",5.13466156690702,3.97615623813174,6.71387145796229,17.9797372447115,1855.14302734806,3.65525517280185,9.0106463889226,20.3824580148797,53.8861774063624,21.4867000153615,3.92741180937176,12.3985216049166,39.3555621741604,17.4472310661923,3.67708204662035,7.65607024557082,26.5740786376441,6.99547188504105,4.43090898249314,61.1352729225536
"dizygotic_twinpair_18",10.5247938432258,6.13110865252086,4.22250955878032,20.8578777916192,2212.88825675174,4.60348887383545,3.35020911941152,30.3671193423042,59.0203074782188,24.0274626091824,3.05179014632101,12.1631905705799,46.2986329093257,9.1846501674973,7.07822484710456,14.6119869123857,17.7934014356573,7.41532622829436,9.92096230318117,66.1381234539209
"dizygotic_twinpair_19",11.0221447788214,7.62363762754579,4.20396633228024,18.7840576868267,1430.88636874241,8.20578845163516,7.12158679598698,32.9131251926844,55.7400747096137,21.6031630377465,6.77352340743098,14.3929552900841,41.1489894122979,11.9295078335241,3.92342532923145,11.0260533554356,23.3445770878948,6.88869946411149,10.1252598554424,62.906343890822
